fitnes,iter,n_group,n_execution,m,p_thresh,p_r,seed,x1,x2,x3
9519.000000,4752,0,0,36,0.45822080969810485840,0.28269392251968383789,1661202121,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,5256,0,1,36,0.45822080969810485840,0.28269392251968383789,1661202127,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.78906250000000000000,3474,0,2,36,0.45822080969810485840,0.28269392251968383789,1661202134,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,6048,0,3,36,0.45822080969810485840,0.28269392251968383789,1661202139,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,4,36,0.45822080969810485840,0.28269392251968383789,1661202147,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,5,36,0.45822080969810485840,0.28269392251968383789,1661202151,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,6,36,0.45822080969810485840,0.28269392251968383789,1661202156,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,7,36,0.45822080969810485840,0.28269392251968383789,1661202160,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,5490,0,8,36,0.45822080969810485840,0.28269392251968383789,1661202164,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.32812500000000000000,4014,0,9,36,0.45822080969810485840,0.28269392251968383789,1661202172,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.00000000000000000000,3060,0,10,36,0.45822080969810485840,0.28269392251968383789,1661202178,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,5886,0,11,36,0.45822080969810485840,0.28269392251968383789,1661202182,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.32812500000000000000,5796,0,12,36,0.45822080969810485840,0.28269392251968383789,1661202190,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.00000000000000000000,3060,0,13,36,0.45822080969810485840,0.28269392251968383789,1661202198,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,5886,0,14,36,0.45822080969810485840,0.28269392251968383789,1661202202,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,5112,0,15,36,0.45822080969810485840,0.28269392251968383789,1661202210,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,5076,0,16,36,0.45822080969810485840,0.28269392251968383789,1661202217,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,17,36,0.45822080969810485840,0.28269392251968383789,1661202224,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.32812500000000000000,4752,0,18,36,0.45822080969810485840,0.28269392251968383789,1661202228,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,19,36,0.45822080969810485840,0.28269392251968383789,1661202235,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,4518,0,20,36,0.45822080969810485840,0.28269392251968383789,1661202239,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.32812500000000000000,5454,0,21,36,0.45822080969810485840,0.28269392251968383789,1661202245,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,5616,0,22,36,0.45822080969810485840,0.28269392251968383789,1661202252,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,4392,0,23,36,0.45822080969810485840,0.28269392251968383789,1661202260,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,4248,0,24,36,0.45822080969810485840,0.28269392251968383789,1661202266,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,25,36,0.45822080969810485840,0.28269392251968383789,1661202272,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.00000000000000000000,3060,0,26,36,0.45822080969810485840,0.28269392251968383789,1661202276,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,4068,0,27,36,0.45822080969810485840,0.28269392251968383789,1661202280,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.78906250000000000000,3258,0,28,36,0.45822080969810485840,0.28269392251968383789,1661202285,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,29,36,0.45822080969810485840,0.28269392251968383789,1661202290,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.32812500000000000000,5166,0,30,36,0.45822080969810485840,0.28269392251968383789,1661202294,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.29687500000000000000,3060,0,31,36,0.45822080969810485840,0.28269392251968383789,1661202301,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9520.00000000000000000000,3060,0,32,36,0.45822080969810485840,0.28269392251968383789,1661202305,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.78906250000000000000,5616,0,33,36,0.45822080969810485840,0.28269392251968383789,1661202310,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.00000000000000000000,3708,0,34,36,0.45822080969810485840,0.28269392251968383789,1661202317,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
9519.32812500000000000000,5256,0,35,36,0.45822080969810485840,0.28269392251968383789,1661202323,0.55097482943394504584,0.75969631126128200904,0.70599979587661754188
