solution,minFitness,sdFitness,tmean,iter,alphas_1,alphas_2,alphas_3
-9427.558594,9519.00000000000000000000,0.39175227284431457520,3745.00000000000000000000,0,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.06347656250000000000,9520.29687500000000000000,0.00000000000000000000,2970.00000000000000000000,1,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.49902343750000000000,9519.00000000000000000000,0.53896629810333251953,4684.00000000000000000000,2,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.21386718750000000000,9520.29687500000000000000,0.00000000000000000000,3120.00000000000000000000,3,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9430.04394531250000000000,9519.00000000000000000000,0.56796097755432128906,6229.00000000000000000000,4,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9438.19433593750000000000,9519.00000000000000000000,0.62500500679016113281,14379.00000000000000000000,5,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.52636718750000000000,9519.00000000000000000000,0.55807483196258544922,4711.00000000000000000000,6,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-10129.58691406250000000000,9519.00000000000000000000,0.59767717123031616211,705772.00000000000000000000,7,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9429.21875000000000000000,9519.00000000000000000000,0.57241666316986083984,5404.00000000000000000000,8,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.28417968750000000000,9520.29687500000000000000,0.00000000000000000000,3190.00000000000000000000,9,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.41992187500000000000,9519.00000000000000000000,0.52646863460540771484,4605.00000000000000000000,10,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9430.28027343750000000000,9519.00000000000000000000,0.51333177089691162109,6466.00000000000000000000,11,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9427.63183593750000000000,9519.78906250000000000000,0.07109482586383819580,3040.00000000000000000000,12,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9432.86328125000000000000,9519.00000000000000000000,0.57167696952819824219,9048.00000000000000000000,13,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.24414062500000000000,9520.29687500000000000000,0.00000000000000000000,3150.00000000000000000000,14,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.54687500000000000000,9519.00000000000000000000,0.61144036054611206055,4731.00000000000000000000,15,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9431.57812500000000000000,9519.00000000000000000000,0.54642230272293090820,7763.00000000000000000000,16,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9427.59765625000000000000,9519.00000000000000000000,0.39898017048835754395,3784.00000000000000000000,17,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.15429687500000000000,9520.29687500000000000000,0.00000000000000000000,3060.00000000000000000000,18,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9434.16699218750000000000,9519.00000000000000000000,0.55259716510772705078,10352.00000000000000000000,19,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.29394531250000000000,9520.29687500000000000000,0.00000000000000000000,3200.00000000000000000000,20,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
-9428.29394531250000000000,9520.29687500000000000000,0.00000000000000000000,3200.00000000000000000000,21,0.98999999999999999112,0.00899999999999999932,0.00100000000000000002
