#iteration aggregated_observation
-1 -49296.3
-1 -44272.5
-1 -43839.5
-1 -48561.2
-1 -50611.6
0 -38501.7
1 -39037.9
2 -40491
3 -45793.2
4 -41697.3
5 -39772.5
6 -41619.1
7 -50362.7
8 -45673.2
9 -39927.1
10 -39684.1
11 -39081.1
12 -40706.6
13 -46595.3
14 -40054.8
15 -50958.5
16 -38852.1
17 -39533.7
18 -37820.6
19 -38985.7
20 -40066
21 -38156
22 -38838.7
23 -38506.1
24 -40315.8
25 -39730.7
26 -46522.7
27 -38831.7
28 -39915.3
29 -38809.7
