#iteration aggregated_observation
-1 -9430.58
-1 -9427.37
-1 -9428.17
-1 -9431.58
-1 -9427.18
-1 -9427.75
-1 -9432.17
-1 -9428
-1 -9434.6
-1 -9431
0 -9428.21
1 -9427.37
2 -9427.85
3 -9428.21
4 -9427.63
5 -9427.69
6 -9428.29
7 -9435.81
8 -9428.29
9 -9427.6
10 -9428.13
11 -9427.74
12 -9427.63
13 -9428.17
14 -9455.93
15 -9428.29
16 -9428.24
17 -9427.67
18 -9428.21
19 -9428.17
20 -9427.75
21 -9429.32
22 -9427.65
23 -9427.3
24 -9427.52
25 -9427.79
26 -9427.17
27 -9427.45
28 -9427.47
29 -9427.63
30 -9428.29
31 -9429.01
32 -9428.29
33 -9427.85
34 -9427.57
35 -9427.8
36 -9427.29
37 -9427.11
38 -9428.56
39 -9428.29
40 -9427.49
41 -9428.29
42 -9428.29
43 -9428.29
44 -9428.29
45 -9427.36
46 -9428.35
47 -9429.26
48 -9427.8
49 -9427.35
50 -9427.38
51 -9427.51
52 -9427.93
53 -9427.21
54 -9428.76
55 -9427.81
56 -9428.29
57 -9427.8
58 -9427.52
59 -9428.38
60 -9427.44
61 -9427.75
62 -9428.24
63 -9428.39
64 -9427.55
65 -9428.17
66 -9427.7
67 -9428.29
68 -9427.29
69 -9427.39
70 -9427
71 -9428.17
72 -9428.15
73 -9427.22
74 -9428.21
75 -9427.34
76 -9428.29
77 -9428.29
78 -9428.08
79 -9427.18
80 -9427.11
81 -9428.24
82 -9427.54
83 -9427.69
84 -9432.56
85 -9428.24
86 -9427.21
87 -9427.66
88 -9427.47
89 -9428.21
90 -9427.88
91 -9428.24
92 -9428.44
93 -9427.72
94 -9428.15
95 -9428.29
96 -9428.29
97 -9427.34
98 -9428.21
99 -9430.89
