#iteration aggregated_observation
-1 -9427.56
-1 -9428.06
-1 -9428.5
-1 -9428.21
-1 -9430.04
-1 -9438.19
-1 -9428.53
-1 -10129.6
-1 -9429.22
-1 -9428.28
0 -9428.42
1 -9430.28
2 -9427.63
3 -9432.86
4 -9428.24
5 -9428.55
6 -9431.58
7 -9427.6
8 -9428.15
9 -9434.17
10 -9428.29
11 -9428.29
12 -9428.32
13 -9428.29
14 -9428.04
15 -9436.46
16 -9428.24
17 -9428.21
18 -9430.35
19 -9427.25
20 -9433.04
21 -9427.33
22 -9427.33
23 -9428.24
24 -9427.55
25 -9428.29
26 -9428.29
27 -9427.73
28 -9427.44
29 -9428.33
30 -9428.29
31 -9429.27
32 -9427.8
33 -9427.72
34 -9428.02
35 -9427.18
36 -9427.03
37 -9427.38
38 -9428.24
39 -9428.29
40 -9428.24
41 -9428.24
42 -9427.35
43 -9428.24
44 -9428.13
45 -9427.45
46 -9428.21
47 -9428.24
48 -9428.29
49 -9428.29
50 -9428.08
51 -9428.29
52 -9427.75
53 -9427.59
54 -9428.29
55 -9428.24
56 -9427.29
57 -9427.53
58 -9427.38
59 -9427.83
60 -9428.29
61 -9427.63
62 -9428.29
63 -9428.29
64 -9427.55
65 -9428.24
66 -9427.17
67 -9428.28
68 -9427.26
69 -9427.45
70 -9428.27
71 -9427.43
72 -9427.47
73 -9427.41
74 -9427.96
75 -9427.49
76 -9427.28
77 -9429.17
78 -9427.11
79 -9428.24
80 -9428.27
81 -9428.27
82 -9428.27
83 -9427.45
84 -9427.82
85 -9428.29
86 -9428.24
87 -9428.05
88 -9427.36
89 -9427.79
90 -9427.79
91 -9427.26
92 -9427.2
93 -9427.34
94 -9428.29
95 -9427.36
96 -9427.71
97 -9427.88
98 -9427.58
99 -9428.21
